date,underlying_pct,boc,resid,composition_pct,raw_mean_pct,n_obs_curr,n_obs_base
2023-03-01,4.9212867468142685,4.9,0.02128674681426812,0.3414892837011019,5.32716044004633,50882,53793
2023-04-01,4.515715225180572,4.5,0.015715225180572112,0.5656832918495835,5.137883935526855,50500,56136
2023-05-01,4.395536864919292,4.4,-0.0044631350807087244,0.6871577360783476,5.160563919412309,50897,57233
2023-06-01,4.046288521459518,4.0,0.046288521459517895,0.3682657775172071,4.451168881550305,50785,58117
2023-07-01,4.404369026407284,4.3,0.10436902640728452,0.5197442255328477,4.973357132658718,51574,57207
2023-08-01,4.167457481896153,4.0,0.16745748189615295,0.5758397493476952,4.854835950823655,53361,56934
2023-09-01,4.410510776739351,4.4,0.01051077673935108,0.4067779203112742,4.904189995996022,55996,56278
2023-10-01,4.076532644036712,4.0,0.07653264403671223,0.4562929666374282,4.640723208895592,55878,56273
2023-11-01,3.8349737744239674,3.8,0.03497377442396754,0.5817651781689248,4.5093339532949805,55478,55566
2023-12-01,4.092276224143965,4.0,0.09227622414396475,0.8578330544855461,5.008852590294044,55229,55835
2024-01-01,3.95800464246856,3.9,0.058004642468560075,0.936691750689178,4.989006879649938,55027,54207
2024-02-01,3.697944228525518,3.6,0.0979442285255181,1.079304485917798,4.837526171990136,55649,52781
2024-03-01,3.5281430140194026,3.4,0.12814301401940265,1.3232208106972232,4.922472697095381,56213,50882
2024-04-01,3.621930662136608,3.6,0.021930662136607992,0.9351426657612903,4.581497419589153,56903,50500
2024-05-01,3.936377461678675,3.9,0.03637746167867517,0.8502199640369135,4.792291559702377,58377,50897
2024-06-01,4.306341587865759,4.3,0.006341587865759557,0.5804187024297525,4.858848922632175,58745,50785
2024-07-01,4.098421349569414,4.1,-0.001578650430585249,0.7582541315155122,4.874119573645386,57703,51574
2024-08-01,4.126630780972906,4.1,0.02663078097290672,0.4316020205611393,4.627892975895098,57238,53361
